id,level,type,question,option_a,option_b,option_c,option_d,correct,points,required,explanation,topic,source
GPL15-L1-11,Level 1,multiple_choice,某採購工程70%、設備20%、維護10%。依第15講，應認定為何種採購？,工程採購,財物採購,勞務採購,完全不適用採購法,A,1,TRUE,第15講舉例，工程70%、設備20%、維護10%，以金額占比最高者認定為工程採購。,混合採購例子,Notion：政府採購法 / 第15講
GPL15-L1-12,Level 1,multiple_choice,依第15講，下列何者屬不適用政府採購法、較適用財產管理法規的情形？,財產出租或變賣,購買電腦,委託清潔服務,系統維護,A,1,TRUE,第15講指出財產處分如出租、變賣，屬國有財產法或地方財產管理法範圍，不適用政府採購法。,不適用採購法,Notion：政府採購法 / 第15講
GPL15-L1-13,Level 1,multiple_choice,依第15講，將120萬元採購故意拆成60萬加60萬以規避採購法，屬於何者？,違法分批採購,合法分別採購,共同供應契約,開口契約,A,1,TRUE,第15講舉例，120萬拆成60萬加60萬以規避採購法，屬違法分批採購。,分批採購,Notion：政府採購法 / 第15講
GPL15-L1-14,Level 1,multiple_choice,依第15講，符合哪些情形時可分別採購？,不同標的、不同地點、不同需求,同一需求故意拆小,只為規避公告金額,把同一批設備拆開發票,A,1,TRUE,第15講指出，不同標的、不同地點、不同需求時，可以分別採購。,分別採購,Notion：政府採購法 / 第15講
GPL15-L1-15,Level 1,multiple_choice,依第15講，巨額財物採購的金額門檻為何？,1億元以上,"2,000萬元以上","1,000萬元以上",100萬元以上,A,1,TRUE,第15講金額級距表列出，巨額財物採購為1億元以上。,金額級距,Notion：政府採購法 / 第15講
GPL15-L1-16,Level 1,multiple_choice,依第15講，巨額勞務採購的金額門檻為何？,"2,000萬元以上",1億元以上,100萬元以上,10萬元以下,A,1,TRUE,"第15講金額級距表列出，巨額勞務採購為2,000萬元以上。",金額級距,Notion：政府採購法 / 第15講
GPL15-L1-17,Level 1,multiple_choice,依第15講，勞務採購查核金額為何？,"1,000萬元以上",100萬元以上,10萬元以下,1億元以上,A,1,TRUE,"第15講金額級距表列出，查核金額（勞務）為1,000萬元以上。",金額級距,Notion：政府採購法 / 第15講
GPL15-L1-18,Level 1,multiple_choice,依第15講，公告金額為何？,100萬元以上,10萬元以下,"1,000萬元以上","2,000萬元以上",A,1,TRUE,第15講金額級距表列出，公告金額為100萬元以上。,金額級距,Notion：政府採購法 / 第15講
GPL15-L1-19,Level 1,multiple_choice,依第15講，小額採購的金額為何？,10萬元以下,100萬元以上,"1,000萬元以上",1億元以上,A,1,TRUE,第15講金額級距表列出，小額採購為10萬元以下。,小額採購,Notion：政府採購法 / 第15講
GPL15-L1-20,Level 1,multiple_choice,依第15講，選擇性招標常適用於何種採購？,長期採購、經常採購,一次性私人買賣,完全無需求確認的採購,刑事偵查採購,A,1,TRUE,第15講指出選擇性招標適用於長期採購、經常採購，例如便當、文具、印刷、清潔服務等。,選擇性招標,Notion：政府採購法 / 第15講
GPL15-L1-21,Level 1,multiple_choice,依第15講，選擇性招標建立合格廠商名單通常要求幾家以上？,6家以上,1家以上,2家以上,100家以上,A,1,TRUE,第15講指出選擇性招標建立6家以上合格廠商名單，之後再邀請投標。,合格廠商名單,Notion：政府採購法 / 第15講
GPL15-L1-22,Level 1,multiple_choice,依第15講，限制性招標的操作不包括下列何者？,比價2家以上或議價1家,完全不需法定事由即可指定廠商,獨家供應,緊急事故,B,1,TRUE,第15講整理限制性招標是不公開招標，直接比價2家以上或議價1家；適用如流標、獨家供應、緊急事故、後續擴充等情形。,限制性招標,Notion：政府採購法 / 第15講
GPL15-L1-23,Level 1,multiple_choice,依第15講，後續擴充成立的必要條件之一為何？,原契約或原招標文件已載明,事後才想到即可,只要廠商願意即可,不需相容性需求,A,1,TRUE,第15講指出後續擴充必須原契約已載明、原招標文件已載明，並有相容性需要與原廠供應必要。,後續擴充,Notion：政府採購法 / 第15講
GPL15-L1-24,Level 1,multiple_choice,依第15講，下列何者較屬同質採購，通常採最低標？,影印紙、水泥、鋼筋,軟體系統,顧問服務,設計服務,A,1,TRUE,第15講指出同質採購產品差異不大，例如影印紙、水泥、鋼筋，決標方式為最低標。,同質採購,Notion：政府採購法 / 第15講
GPL15-L1-25,Level 1,multiple_choice,依第15講，異質最低標與最有利標的決標差異為何？,異質最低標為合格最低價，最有利標為綜合最佳,兩者完全相同,最有利標只看最低價,異質最低標完全不看價格,A,1,TRUE,第15講比較表指出，異質最低標決標為合格最低價；最有利標決標為綜合最佳。,異質最低標與最有利標,Notion：政府採購法 / 第15講
